Cars,mpg,cylinders,displacement,horsepower,acceleration,model-year
car 1 ,18,8,307,130,12,0
car 2,15,8,350,165,11.5,1
car 3,18,8,318,150,11,0
car 4,16,8,304,150,12,1
car 5,17,8,302,140,10.5,1
car 6,15,8,429,198,10,0
car 7,14,8,454,220,9,0
car 8,14,8,440,215,8.5,1
car 9,14,8,455,225,10,1
car 10,15,8,390,190,8.5,0
car 11,15,8,383,170,10,0
car 12,14,8,340,160,8,1
car 13,15,8,400,150,9.5,1
car 14,14,8,455,225,10,0
car 15,24,4,113,95,15,1
car 16,22,6,198,95,15.5,0
car 17,18,6,199,97,15.5,1
car 18,21,6,200,85,16,1
car 19,27,4,97,88,14.5,0
car 20,26,4,97,46,20.5,1
car 21,25,4,110,87,17.5,1
car 22,24,4,107,90,14.5,0
car 23,25,4,104,95,17.5,1
car 24,26,4,121,113,12.5,0
car 25,21,6,199,90,15,1
car 26,10,8,360,215,14,0
car 27,10,8,307,200,15,1
car 28,11,8,318,210,13.5,1
car 29,9,8,304,193,18.5,0
car 30,27,4,97,88,14.5,1
car 31,28,4,140,90,15.5,0
car 32,25,4,113,95,14,1
car 33,25,4,98,95,19,0
car 34,19,6,232,100,13,1
car 35,16,6,225,105,15.5,0
car 36,17,6,250,100,15.5,1
car 37,19,6,250,88,15.5,0
car 38,18,6,232,100,15.5,1
car 39,14,8,350,165,12,1
car 40,14,8,400,175,11.5,0
car 41,14,8,351,153,13.5,1
car 42,14,8,318,150,13,1
car 43,12,8,383,180,11.5,0
car 44,13,8,400,170,12,0
car 45,13,8,400,175,12,1
car 46,18,6,258,110,13.5,0
car 47,22,4,140,72,19,1
car 48,19,6,250,100,15,1
car 49,18,6,250,88,14.5,0
car 50,23,4,122,86,14,1
car 51,28,4,116,90,14,1
car 52,30,4,79,70,19.5,0
car 53,30,4,88,76,14.5,0
car 54,31,4,71,65,19,1
car 55,35,4,72,69,18,0
car 56,27,4,97,60,19,1
car 57,26,4,91,70,20.5,0
